               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  27,            0.034104,            0.027705,            0.014442,             0.77575,                0.75,             0.75846,             0.20857,            0.039648,            0.030585,          0.00027358,            0.073294,           0.0002943,           0.0002943
                  28,            0.031375,            0.028802,            0.010782,             0.77496,                0.75,             0.75846,             0.20857,            0.039312,            0.030376,          0.00027422,            0.072213,           0.0002128,           0.0002128
                  29,            0.038624,              0.0319,            0.018649,             0.77496,                0.75,             0.75846,             0.20857,            0.039312,            0.030376,          0.00027422,            0.071125,           0.0001247,           0.0001247
                   0,            0.046255,            0.041149,            0.022845,             0.98038,                   1,               0.995,             0.47065,             0.02554,            0.024419,          0.00022161,                 0.1,                   0,                   0
                   1,            0.042444,            0.031563,            0.010617,              0.9803,                   1,               0.995,              0.4887,            0.025423,            0.024174,          0.00021709,            0.099097,            9.67e-05,            9.67e-05
                   2,            0.036105,            0.026674,            0.026243,             0.98036,                   1,               0.995,             0.49552,            0.025615,            0.024035,          0.00021155,            0.098187,           0.0001868,           0.0001868
                   3,            0.043841,            0.032869,            0.010874,             0.98001,                   1,               0.995,             0.48366,             0.02618,            0.023897,          0.00020868,             0.09727,           0.0002703,           0.0002703
                   4,            0.040898,            0.038255,            0.031291,             0.98005,                   1,               0.995,              0.4718,            0.027314,            0.023818,          0.00020591,            0.096347,           0.0003472,           0.0003472
                   5,            0.036877,             0.02697,             0.01194,             0.98012,                   1,               0.995,             0.44189,            0.028388,            0.023758,          0.00020466,            0.095418,           0.0004175,           0.0004175
                   6,            0.040516,             0.03705,            0.032594,             0.97986,                   1,               0.995,             0.45994,            0.029439,            0.023622,          0.00020362,            0.094481,           0.0004812,           0.0004812
                   7,            0.040757,            0.034311,            0.027517,             0.98013,                   1,               0.995,             0.44808,            0.030665,             0.02356,          0.00020458,            0.093538,           0.0005383,           0.0005383
                   8,            0.040459,            0.030833,            0.019249,             0.98006,                   1,               0.995,             0.45981,            0.031251,            0.023399,          0.00020513,            0.092589,           0.0005888,           0.0005888
                   9,            0.035079,            0.025358,            0.018174,             0.98001,                   1,               0.995,             0.45981,            0.032324,            0.023411,          0.00020664,            0.091633,           0.0006327,           0.0006327
                  10,            0.034905,            0.026534,            0.011947,                0.98,                   1,               0.995,             0.42811,            0.033136,            0.023327,          0.00020807,             0.09067,             0.00067,             0.00067
                  11,            0.037514,             0.03149,            0.017057,             0.97978,                   1,               0.995,             0.40336,            0.033939,            0.023207,          0.00021025,            0.089701,           0.0007007,           0.0007007
                  12,            0.040028,            0.038312,           0.0087226,             0.97966,                   1,               0.995,             0.40336,            0.035184,             0.02314,          0.00021186,            0.088725,           0.0007248,           0.0007248
                  13,            0.037588,             0.02225,            0.013861,             0.85683,               0.875,              0.8145,             0.38531,            0.036262,            0.023057,          0.00021386,            0.087742,           0.0007423,           0.0007423
                  14,            0.039562,            0.026526,           0.0068849,             0.97945,                   1,               0.995,              0.3723,            0.036073,            0.022787,           0.0002158,            0.086753,           0.0007532,           0.0007532
                  15,            0.036797,            0.026618,            0.018532,             0.85636,               0.875,              0.8145,             0.32937,            0.036727,            0.022676,          0.00021686,            0.085758,           0.0007575,           0.0007575
                  16,            0.037323,            0.029999,            0.013508,             0.85619,               0.875,              0.8145,             0.32255,            0.037217,            0.022468,          0.00021847,            0.084755,           0.0007552,           0.0007552
                  17,             0.03704,            0.031568,            0.020558,             0.85619,               0.875,              0.8145,             0.32255,            0.037217,            0.022468,          0.00021847,            0.083746,           0.0007463,           0.0007463
                  18,            0.038525,             0.03067,            0.011115,             0.85612,               0.875,              0.8145,             0.32255,             0.03775,            0.022221,          0.00022084,            0.082731,           0.0007308,           0.0007308
                  19,            0.035157,            0.027223,            0.020733,             0.85612,               0.875,              0.8145,             0.32255,             0.03775,            0.022221,          0.00022084,            0.081709,           0.0007087,           0.0007087
                  20,            0.035053,            0.027852,            0.019828,             0.85631,               0.875,              0.8145,             0.32874,            0.038296,            0.022009,          0.00022295,             0.08068,             0.00068,             0.00068
                  21,            0.053323,            0.027126,            0.022953,             0.85631,               0.875,              0.8145,             0.32874,            0.038296,            0.022009,          0.00022295,            0.079645,           0.0006447,           0.0006447
                  22,            0.034112,            0.023021,           0.0084003,             0.97899,                   1,               0.995,             0.33996,            0.038788,            0.021754,          0.00022596,            0.078603,           0.0006028,           0.0006028
                  23,            0.032964,            0.029629,            0.020434,             0.97899,                   1,               0.995,             0.33996,            0.038788,            0.021754,          0.00022596,            0.077554,           0.0005543,           0.0005543
                  24,            0.032233,            0.026669,            0.023497,             0.97929,                   1,               0.995,             0.33996,            0.038819,            0.021466,          0.00022891,            0.076499,           0.0004992,           0.0004992
                  25,            0.039051,            0.031178,            0.011759,             0.97929,                   1,               0.995,             0.33996,            0.038819,            0.021466,          0.00022891,            0.075438,           0.0004375,           0.0004375
